,id,gender,age,driving_license,region_code,previously_insured,vehicle_age,vehicle_damage,annual_premium,policy_sales_channel,vintage,response
26,365035,0.1379549141,0.1076923077,1,0.1553672316,0,< 1 Year,1,-1.6234190157,0.1935077586,0.8166089965,0.7287500468
27,336842,0.1040223002,0.2,1,0.1229831885,0,1-2 Year,1,-0.164446882,0.2097137628,0.9653979239,0.7603336525
28,286297,0.1379549141,0.4615384615,1,0.1016852869,0,1-2 Year,0,0.5988768266,0.1935077586,0.9757785467,0.9660057166
29,42454,0.1040223002,0.0153846154,1,0.0881246642,0,< 1 Year,0,-1.6234190157,0.3537441741,0.5017301038,0.9702557569
30,344006,0.1040223002,0.2769230769,1,0.0787977254,0,1-2 Year,1,0.193290248,0.0278168633,0.6955017301,0.7727186437
31,258865,0.1379549141,0.2615384615,1,0.0995762712,0,1-2 Year,1,-1.6234190157,0.1935077586,0.4117647059,0.7826498116
32,24794,0.1379549141,0.3230769231,1,0.0958711869,0,1-2 Year,1,0.3182337052,0.1935077586,0.0899653979,0.7847721825
33,249247,0.1379549141,0.0,1,0.1240072202,1,< 1 Year,0,0.0534047393,0.0572867981,0.7301038062,0.9991707506
34,12165,0.1379549141,0.8615384615,1,0.1870630398,0,> 2 Years,1,0.5299805973,0.0036078941,0.9723183391,0.6905002791
35,220448,0.1379549141,0.5692307692,1,0.0999176955,1,1-2 Year,0,0.3923625595,0.1935077586,0.2733564014,0.9994052749
36,181420,0.1379549141,0.0923076923,1,0.1870630398,1,< 1 Year,0,1.1488257153,0.0100889838,0.5121107266,0.9988527663
37,209667,0.1379549141,0.3538461538,1,0.0625686059,1,1-2 Year,0,0.0202066406,0.0040375615,0.0173010381,0.9993951991
38,4403,0.1379549141,0.5076923077,1,0.1870630398,1,1-2 Year,0,0.2179998661,0.2097137628,0.8339100346,0.999105783
39,110456,0.1040223002,0.2769230769,1,0.0408977556,0,1-2 Year,1,0.6350982197,0.1935077586,0.2456747405,0.8230506763
40,230930,0.1040223002,0.0769230769,1,0.0745762712,1,< 1 Year,0,0.1329987798,0.3537441741,0.1972318339,0.9994938861
41,245856,0.1040223002,0.2615384615,1,0.1229831885,0,1-2 Year,1,-1.6234190157,0.0278168633,0.2006920415,0.7382359557
42,130708,0.1040223002,0.0307692308,1,0.0714553991,0,< 1 Year,0,-0.1731679237,0.3537441741,0.8961937716,0.9720197007
43,181921,0.1040223002,0.0,1,0.0731707317,0,< 1 Year,1,-0.3268908184,0.0572867981,0.1557093426,0.7741955358
44,220555,0.1040223002,0.3076923077,1,0.1240072202,1,< 1 Year,0,-1.6234190157,0.0028502363,0.5605536332,0.9991959283
45,212841,0.1379549141,0.4769230769,1,0.1870630398,0,1-2 Year,1,0.6482379226,0.0260522751,0.8339100346,0.6789106649
46,240596,0.1040223002,0.0769230769,1,0.0958711869,0,< 1 Year,0,0.5489924682,0.3537441741,0.0830449827,0.9690084574
47,170054,0.1040223002,0.0153846154,1,0.1248492967,0,< 1 Year,1,-0.5934058523,0.3537441741,0.1522491349,0.7758208529
48,189288,0.1040223002,0.6461538462,1,0.0958711869,1,1-2 Year,0,-0.2320058849,0.2097137628,0.2733564014,0.9994358997
49,258265,0.1379549141,0.8615384615,1,0.1870630398,0,1-2 Year,1,-0.061945572,0.0260522751,0.0830449827,0.6973308055
50,85224,0.1379549141,0.2461538462,1,0.0864349431,0,1-2 Year,1,-0.1189230444,0.2097137628,0.0484429066,0.7927130671
51,311048,0.1379549141,0.3384615385,1,0.0958711869,0,1-2 Year,1,-0.3577051657,0.2097137628,0.7024221453,0.7877298758
52,218091,0.1379549141,0.4,1,0.0408977556,1,1-2 Year,0,-0.493753416,0.0036078941,0.0761245675,0.9994603451
53,168695,0.1040223002,0.3846153846,1,0.0995762712,0,1-2 Year,1,-1.6234190157,0.0002066339,0.169550173,0.7589018091
54,161435,0.1040223002,0.1384615385,1,0.1097234612,1,< 1 Year,0,-0.2011915376,0.3537441741,0.2214532872,0.9994123692
55,333206,0.1379549141,0.0769230769,1,0.0958711869,0,< 1 Year,1,2.2669213997,0.3537441741,0.3460207612,0.7955002898
56,24538,0.1379549141,0.6153846154,1,0.1870630398,0,> 2 Years,1,2.037906845,0.1935077586,0.3044982699,0.7117924174
57,298329,0.1040223002,0.0923076923,1,0.0714553991,0,< 1 Year,1,0.4857939861,0.3537441741,0.0069204152,0.8169475868
58,16895,0.1040223002,0.4,1,0.1870630398,0,> 2 Years,1,1.3417932977,0.2097137628,0.2422145329,0.7077397884
59,56552,0.1379549141,0.2615384615,1,0.1127921113,0,1-2 Year,1,-1.6234190157,0.2097137628,0.8373702422,0.773671018
60,48882,0.1379549141,0.0769230769,1,0.1334593573,0,< 1 Year,1,-1.6234190157,0.3537441741,0.2698961938,0.772411936
61,303546,0.1040223002,0.1230769231,1,0.0695093458,0,< 1 Year,1,0.2043369008,0.0157468177,0.3875432526,0.7739549803
62,141310,0.1379549141,0.1692307692,1,0.1127921113,0,< 1 Year,1,-0.4772415771,0.3537441741,0.1972318339,0.7900344671
63,84368,0.1040223002,0.2769230769,1,0.0796573876,1,1-2 Year,0,-1.6234190157,0.1935077586,0.3425605536,0.9994392851
64,153049,0.1040223002,0.0461538462,1,0.1127921113,1,< 1 Year,0,-0.3332281087,0.3537441741,0.7058823529,0.9993916916
65,351684,0.1379549141,0.3538461538,1,0.1870630398,0,1-2 Year,1,0.9534162413,0.2097137628,0.4636678201,0.7063357443
66,215879,0.1040223002,0.2769230769,1,0.0408977556,1,1-2 Year,0,-1.6234190157,0.3537441741,0.7266435986,0.9995886849
67,176313,0.1040223002,0.3692307692,1,0.0995762712,1,1-2 Year,1,-1.6234190157,0.1935077586,0.5605536332,0.9952426069
68,267154,0.1040223002,0.0769230769,1,0.0999176955,1,< 1 Year,0,0.3385246622,0.3537441741,0.0761245675,0.9994298148
69,170611,0.1379549141,0.0769230769,1,0.1236947791,0,< 1 Year,1,-1.6234190157,0.0572867981,0.7439446367,0.7346628875
70,42081,0.1040223002,0.0461538462,1,0.0671936759,0,< 1 Year,1,-0.2411920488,0.3537441741,0.0553633218,0.8196192554
71,306252,0.1379549141,0.6153846154,1,0.1870630398,0,1-2 Year,1,0.833065866,0.2097137628,0.5017301038,0.7166001929
72,4495,0.1040223002,0.0307692308,1,0.0625686059,0,< 1 Year,0,0.3252686788,0.3537441741,0.9619377163,0.9729821555
73,142077,0.1379549141,0.5692307692,1,0.1870630398,0,> 2 Years,1,-0.3532865046,0.2097137628,0.384083045,0.7174232825
74,194223,0.1040223002,0.0615384615,1,0.1127921113,1,< 1 Year,0,2.1869203773,0.3537441741,0.4532871972,0.9993795598
75,356154,0.1040223002,0.1538461538,1,0.0999176955,0,< 1 Year,1,0.7985886812,0.3537441741,0.2698961938,0.7972380179
76,71288,0.1040223002,0.0461538462,1,0.1127921113,1,< 1 Year,0,-0.0642711831,0.3537441741,0.1141868512,0.9993932208
77,17690,0.1379549141,0.5230769231,1,0.1870630398,1,1-2 Year,0,0.630330717,0.001974502,0.3148788927,0.998942026
78,284970,0.1379549141,0.2923076923,1,0.1248492967,0,1-2 Year,1,-0.7441054527,0.1935077586,0.830449827,0.7607234216
79,124298,0.1379549141,0.0923076923,1,0.1870630398,0,< 1 Year,1,-1.6234190157,0.3537441741,0.8477508651,0.7250392269
80,31154,0.1379549141,0.0615384615,1,0.0958711869,1,1-2 Year,0,0.2699191342,0.2097137628,0.8477508651,0.9993641267
81,346125,0.1379549141,0.6769230769,1,0.1229831885,1,1-2 Year,0,-0.2467735155,0.2097137628,0.5051903114,0.9993623328
82,369403,0.1379549141,0.4461538462,1,0.1870630398,0,1-2 Year,1,0.7783558645,0.2097137628,0.8996539792,0.7094918388
83,86248,0.1040223002,0.0923076923,1,0.0739940311,1,< 1 Year,0,-0.0638060609,0.3537441741,0.4948096886,0.9994963837
84,43695,0.1379549141,0.5230769231,1,0.1229831885,1,1-2 Year,0,-1.6234190157,0.1935077586,0.2664359862,0.9993451282
85,351791,0.1379549141,0.5076923077,1,0.1870630398,0,> 2 Years,1,3.9697919992,0.1935077586,0.9792387543,0.7024335638
86,164168,0.1040223002,0.0615384615,1,0.0864349431,0,< 1 Year,1,0.4749217541,0.3537441741,0.6366782007,0.8045058631
87,175463,0.1379549141,0.0461538462,1,0.1237219516,1,< 1 Year,0,-0.4335200881,0.3537441741,0.5467128028,0.9993613912
88,9727,0.1040223002,0.4461538462,1,0.0958711869,0,1-2 Year,1,-1.6234190157,0.0048444178,0.1038062284,0.7649363261
89,61049,0.1040223002,0.1076923077,1,0.0958711869,1,< 1 Year,0,-0.5947430787,0.3537441741,0.1972318339,0.9994482138
90,365586,0.1040223002,0.1076923077,1,0.0958711869,1,< 1 Year,0,1.048766297,0.3537441741,0.7820069204,0.9994363288
91,95039,0.1040223002,0.0615384615,1,0.0958711869,1,< 1 Year,0,0.4052115609,0.3537441741,0.7335640138,0.999435256
92,66531,0.1040223002,0.4615384615,1,0.0625686059,0,1-2 Year,1,0.5789347113,0.0040375615,0.062283737,0.7885583869
93,127887,0.1379549141,0.2,1,0.0602479101,1,< 1 Year,0,0.0560210518,0.3537441741,0.8858131488,0.9995349958
94,221391,0.1040223002,0.1230769231,1,0.0958711869,0,< 1 Year,1,-0.2271802418,0.3537441741,0.4048442907,0.8007782977
95,182578,0.1379549141,0.6153846154,1,0.0714553991,1,1-2 Year,0,1.6851116387,0.1935077586,0.6885813149,0.9994752023
96,373088,0.1040223002,0.1076923077,1,0.0721455458,1,< 1 Year,0,-0.2954950684,0.3537441741,0.9411764706,0.9995013445
97,325615,0.1379549141,0.0153846154,1,0.0745762712,0,1-2 Year,1,-1.6234190157,0.0278168633,0.8788927336,0.7704046976
98,312696,0.1379549141,0.0615384615,1,0.0857525681,1,< 1 Year,0,0.6994595074,0.3537441741,0.0207612457,0.9994630856
99,275567,0.1040223002,0.2769230769,1,0.1870630398,0,1-2 Year,1,1.4165035548,0.1935077586,0.6055363322,0.6993061422
100,258718,0.1040223002,0.5384615385,1,0.1016852869,1,1-2 Year,0,0.6678311962,0.0016661911,0.4775086505,0.9992901402
101,294764,0.1379549141,0.3692307692,1,0.1237219516,0,1-2 Year,1,0.405444122,0.1935077586,0.3044982699,0.7630774752
102,112604,0.1379549141,0.4461538462,1,0.0958711869,0,1-2 Year,1,0.6655637254,0.2097137628,0.6193771626,0.7895419854
103,303431,0.1040223002,0.6307692308,1,0.0714553991,1,1-2 Year,0,-1.6234190157,0.2097137628,0.508650519,0.9995010298
104,107172,0.1379549141,0.1230769231,1,0.0787383708,0,< 1 Year,1,-0.1860750654,0.3537441741,0.6851211073,0.8127969426
105,233535,0.1040223002,0.2153846154,1,0.1127921113,1,1-2 Year,0,0.5650391849,0.0019581025,0.5605536332,0.9992060524
106,111669,0.1379549141,0.4461538462,1,0.1870630398,0,1-2 Year,1,0.9899283358,0.1935077586,0.4844290657,0.7070430722
107,49363,0.1379549141,0.0923076923,1,0.1248492967,1,< 1 Year,0,-0.3878218297,0.3537441741,0.1937716263,0.9993652376
108,215297,0.1379549141,0.2,1,0.1016852869,0,< 1 Year,1,-0.2915996697,0.1935077586,0.4775086505,0.7766160423
109,182632,0.1379549141,0.0307692308,1,0.0695093458,0,< 1 Year,1,-0.3181697767,0.1935077586,0.2041522491,0.7969112103
110,361250,0.1379549141,0.7538461538,1,0.0902406417,0,1-2 Year,1,-0.4924743299,0.0014005189,0.1626297578,0.7772183395
111,217487,0.1379549141,0.3692307692,1,0.0721455458,0,1-2 Year,1,0.0877656436,0.0074650608,0.1522491349,0.7792146593
112,87493,0.1379549141,0.8,1,0.0906921241,1,1-2 Year,0,-1.6234190157,0.2097137628,0.8062283737,0.9994698765
113,45170,0.1040223002,0.0461538462,1,0.1127921113,1,< 1 Year,0,0.3585249178,0.3537441741,0.1764705882,0.999390355
114,215307,0.1379549141,0.1230769231,1,0.1870630398,1,< 1 Year,0,-1.6234190157,0.3537441741,0.169550173,0.9991667894
115,117784,0.1379549141,0.0,1,0.0373831776,0,< 1 Year,1,-1.6234190157,0.0572867981,0.2941176471,0.8038908192
116,49772,0.1379549141,0.2923076923,1,0.1870630398,1,1-2 Year,0,1.0786503999,0.1935077586,0.1003460208,0.999054375
117,190342,0.1040223002,0.4,1,0.1229831885,0,1-2 Year,1,-1.6234190157,0.1935077586,0.830449827,0.7675044286
118,226921,0.1379549141,0.4307692308,1,0.1870630398,0,> 2 Years,1,0.7895769381,0.2097137628,0.3356401384,0.7098889817
119,247412,0.1040223002,0.0769230769,1,0.0679706601,1,< 1 Year,0,0.2837565204,0.3537441741,0.3425605536,0.9995078922
120,21783,0.1379549141,0.2307692308,1,0.1870630398,0,1-2 Year,1,-0.1099113013,0.2097137628,0.0588235294,0.7044439768
121,47036,0.1040223002,0.0769230769,1,0.1248492967,1,< 1 Year,0,-0.0554338609,0.3537441741,0.6851211073,0.9993585647
122,175047,0.1040223002,0.0461538462,1,0.0739940311,1,< 1 Year,0,0.0086948656,0.3537441741,0.276816609,0.9994926026
123,341758,0.1379549141,0.8769230769,1,0.1870630398,0,1-2 Year,1,1.1555699875,0.2097137628,0.6816608997,0.725529329
124,338786,0.1040223002,0.0307692308,1,0.0679706601,1,< 1 Year,0,0.2519537884,0.3537441741,0.4532871972,0.9995032828
125,338964,0.1040223002,0.0461538462,1,0.1870630398,0,< 1 Year,1,-1.6234190157,0.0177344393,0.0519031142,0.6660075826
126,225250,0.1379549141,0.5384615385,1,0.1237219516,0,1-2 Year,1,0.4245722735,0.2097137628,0.2525951557,0.7711980996
127,210210,0.1040223002,0.4,1,0.1016852869,0,1-2 Year,1,1.6226108399,0.2097137628,0.2076124567,0.7825367924
128,44486,0.1040223002,0.1538461538,1,0.1097234612,1,< 1 Year,0,-0.4379387492,0.3537441741,0.9273356401,0.9994118151
129,329872,0.1040223002,0.0307692308,1,0.0864349431,0,< 1 Year,0,-0.5131722688,0.2097137628,0.1176470588,0.9667239199
130,3074,0.1379549141,0.4153846154,1,0.1127921113,0,1-2 Year,1,0.1207311811,0.2097137628,0.0726643599,0.7768753351
131,254988,0.1040223002,0.7230769231,1,0.0958711869,0,1-2 Year,1,-1.6234190157,0.2097137628,0.5294117647,0.8017986496
132,164502,0.1040223002,0.3538461538,1,0.1870630398,0,1-2 Year,1,0.3492806136,0.2097137628,0.2629757785,0.7079331078
133,36980,0.1379549141,0.7692307692,1,0.1248492967,0,1-2 Year,1,-0.338925856,0.2097137628,0.2525951557,0.7791510896
134,346845,0.1040223002,0.0307692308,1,0.1229831885,1,< 1 Year,0,-0.1661910903,0.3537441741,0.8788927336,0.9993582032
135,276383,0.1040223002,0.3692307692,1,0.1870630398,1,1-2 Year,0,1.2400478113,0.0260522751,0.3079584775,0.9989260892
136,158824,0.1379549141,0.1538461538,1,0.0958711869,1,< 1 Year,0,0.3173034607,0.3537441741,0.7128027682,0.9994455444
137,368627,0.1040223002,0.8923076923,1,0.1870630398,1,1-2 Year,0,2.4835520751,0.0260522751,0.7474048443,0.9990107464
138,34894,0.1379549141,0.4153846154,1,0.1870630398,0,1-2 Year,1,-1.6234190157,0.2097137628,0.3010380623,0.7142381345
139,331549,0.1040223002,0.4153846154,1,0.1424843424,0,1-2 Year,1,0.1229405117,0.2097137628,0.9965397924,0.7504189864
140,30252,0.1379549141,0.3384615385,1,0.0995762712,1,1-2 Year,0,-1.6234190157,0.0278168633,0.4359861592,0.999301982
141,262310,0.1040223002,0.5846153846,1,0.1870630398,0,1-2 Year,1,0.0796841449,0.2097137628,0.5709342561,0.7168121444
142,77198,0.1040223002,0.1692307692,1,0.1016852869,0,1-2 Year,1,-1.6234190157,0.0177344393,0.1280276817,0.7523517069
143,246574,0.1379549141,0.1076923077,1,0.1127921113,0,< 1 Year,1,0.2231743508,0.1935077586,0.0795847751,0.7640943892
144,224774,0.1040223002,0.7846153846,1,0.1870630398,1,1-2 Year,1,0.6241678475,0.2097137628,0.5882352941,0.9933332951
145,295484,0.1379549141,0.3384615385,1,0.0695093458,0,1-2 Year,1,-0.1179346597,0.1935077586,0.4394463668,0.8054784668
146,135520,0.1379549141,0.3230769231,1,0.1300339641,0,1-2 Year,1,0.4465492985,0.1935077586,0.0968858131,0.7563731274
147,274353,0.1040223002,0.1076923077,1,0.0625686059,1,< 1 Year,0,-0.0793876554,0.3537441741,0.0103806228,0.9995259888
148,308805,0.1040223002,0.6307692308,1,0.1870630398,0,1-2 Year,1,1.5764474593,0.0260522751,0.2283737024,0.6843465406
149,90829,0.1040223002,0.1384615385,1,0.1229831885,0,1-2 Year,1,-1.6234190157,0.0278168633,0.5467128028,0.7331503988
150,298896,0.1379549141,0.3230769231,1,0.0864349431,0,1-2 Year,1,-0.0500849553,0.1935077586,0.2387543253,0.7925027307
151,5563,0.1379549141,0.3846153846,1,0.0958711869,0,1-2 Year,1,0.0692770352,0.0177344393,0.0415224913,0.7618541703
152,343431,0.1040223002,0.2,1,0.1016852869,1,1-2 Year,0,0.0360789365,0.1935077586,0.4878892734,0.9993583427
153,354686,0.1379549141,0.3846153846,1,0.0728764479,1,1-2 Year,0,0.2883496023,0.0008494951,0.0415224913,0.9993655897
154,137410,0.1040223002,0.1076923077,1,0.1870630398,0,1-2 Year,1,0.5753881543,0.1935077586,0.3702422145,0.6947763603
155,362053,0.1379549141,0.4153846154,1,0.1016852869,0,1-2 Year,1,-0.2939252809,0.0074650608,0.4878892734,0.7563383288
156,200521,0.1379549141,0.2923076923,1,0.1097234612,0,1-2 Year,1,-0.1418303139,0.1935077586,0.6435986159,0.7725822922
157,359761,0.1379549141,0.1538461538,1,0.0958711869,1,1-2 Year,0,0.4203280332,0.1935077586,0.5882352941,0.9993671308
158,70837,0.1379549141,0.0153846154,1,0.0739940311,1,< 1 Year,0,-0.2600294988,0.3537441741,0.8823529412,0.9994883123
159,45659,0.1379549141,0.3384615385,1,0.1870630398,1,1-2 Year,0,2.3511666623,0.001974502,0.9100346021,0.9988801835
160,288091,0.1379549141,0.0769230769,1,0.0731707317,1,< 1 Year,0,0.0956145811,0.3537441741,0.4498269896,0.9994962692
161,215811,0.1040223002,0.3538461538,1,0.0787383708,0,1-2 Year,1,-0.210261421,0.0003378301,1.0,0.7715472928
162,201099,0.1040223002,0.6307692308,1,0.0958711869,0,1-2 Year,0,1.1056856291,0.2097137628,0.1349480969,0.9683748037
163,191331,0.1379549141,0.2,1,0.0602479101,0,1-2 Year,1,-1.6234190157,0.0278168633,0.892733564,0.7878572091
164,232406,0.1040223002,0.3076923077,1,0.104607721,0,1-2 Year,1,-1.6234190157,0.1935077586,0.0346020761,0.7806843243
165,192856,0.1379549141,0.6,1,0.0958711869,1,1-2 Year,0,0.2027671133,0.2097137628,0.0795847751,0.9994295107
166,290975,0.1040223002,0.1538461538,1,0.0864349431,1,< 1 Year,0,-0.2840414336,0.3537441741,0.1833910035,0.9994749945
167,240356,0.1040223002,0.0615384615,1,0.1237219516,1,< 1 Year,0,0.5850394405,0.3537441741,0.9204152249,0.9993547052
168,360936,0.1379549141,0.5230769231,1,0.1870630398,0,1-2 Year,1,-1.6234190157,0.2097137628,0.598615917,0.7178244325
169,264363,0.1040223002,0.0769230769,1,0.1016852869,0,< 1 Year,1,-0.0936901638,0.3537441741,0.7162629758,0.7943442114
170,276702,0.1040223002,0.8615384615,1,0.1870630398,1,1-2 Year,0,2.6315190824,0.2097137628,0.4394463668,0.9991460703
171,299833,0.1379549141,0.0923076923,1,0.0796573876,1,< 1 Year,0,0.3330013358,0.3537441741,0.5155709343,0.9994807781
172,307419,0.1040223002,0.0307692308,1,0.1237219516,1,< 1 Year,0,0.0761957283,0.3537441741,0.9584775087,0.999353998
173,14707,0.1379549141,0.6923076923,1,0.1870630398,0,> 2 Years,1,0.3485829302,0.2097137628,0.5467128028,0.7204110487
174,8630,0.1040223002,0.0615384615,1,0.0721455458,1,< 1 Year,0,-0.1200858499,0.3537441741,0.5605536332,0.9994978046
175,211747,0.1379549141,0.0307692308,1,0.1016852869,1,< 1 Year,0,-0.3915428075,0.3537441741,0.0069204152,0.9994245946
176,2908,0.1379549141,0.2769230769,1,0.1870630398,0,1-2 Year,1,-0.3695076421,0.2097137628,0.8581314879,0.7053277299
177,158208,0.1040223002,0.6461538462,1,0.1870630398,0,1-2 Year,1,-0.345205006,0.0003837487,0.3633217993,0.6842283467
178,334334,0.1040223002,0.2153846154,1,0.0995762712,0,< 1 Year,1,-1.6234190157,0.3537441741,0.2352941176,0.8032089111
179,280024,0.1040223002,0.3076923077,1,0.1870630398,1,1-2 Year,0,-0.4610785798,0.1935077586,0.3494809689,0.999069279
180,92055,0.1040223002,0.4923076923,1,0.1870630398,0,1-2 Year,1,0.1288126798,0.000170555,0.2698961938,0.677066804
181,116871,0.1040223002,0.3230769231,1,0.0995762712,0,1-2 Year,1,-1.6234190157,0.0023254517,0.3875432526,0.7567510445
182,216261,0.1379549141,0.1846153846,1,0.1248492967,0,< 1 Year,0,-0.7443961541,0.2097137628,0.5224913495,0.9614841909
183,39389,0.1040223002,0.0461538462,1,0.0958711869,1,< 1 Year,0,-0.0599106623,0.0100889838,0.8858131488,0.9992501775
184,375307,0.1379549141,0.1538461538,1,0.0787383708,1,< 1 Year,0,-0.9002120988,0.3537441741,0.5640138408,0.9994949035
185,59443,0.1040223002,0.5230769231,1,0.1870630398,0,1-2 Year,1,0.7927165131,0.2097137628,0.5847750865,0.7129968983
186,276219,0.1379549141,0.2153846154,1,0.0958711869,0,1-2 Year,1,1.0039401428,0.1935077586,0.2906574394,0.7798752878
187,296920,0.1040223002,0.1076923077,1,0.0602479101,1,< 1 Year,0,-0.3322978643,0.3537441741,0.401384083,0.999530661
188,176226,0.1379549141,0.3692307692,1,0.1870630398,0,1-2 Year,0,0.007939042,0.2097137628,0.4844290657,0.9504804422
189,126311,0.1379549141,0.2769230769,1,0.1229831885,1,1-2 Year,0,0.250616562,0.2097137628,0.1107266436,0.9993115815
190,7238,0.1040223002,0.4307692308,1,0.0999176955,0,1-2 Year,1,0.7719022937,0.2097137628,0.3287197232,0.7861508396
191,377870,0.1379549141,0.7846153846,1,0.1870630398,0,1-2 Year,1,-0.2053776376,0.2097137628,0.107266436,0.7257477159
192,116094,0.1379549141,0.0307692308,1,0.1229831885,1,< 1 Year,0,-0.4679391326,0.3537441741,0.8788927336,0.9993601093
193,343053,0.1379549141,0.4769230769,1,0.0625686059,0,> 2 Years,1,1.418654745,0.0157468177,0.5467128028,0.7885669831
194,322597,0.1379549141,0.2923076923,1,0.1016852869,0,1-2 Year,1,0.3211988594,0.2097137628,0.8892733564,0.7802547646
195,261985,0.1040223002,0.4769230769,1,0.1870630398,0,1-2 Year,1,0.1329987798,0.1935077586,0.3460207612,0.7102319579
196,350312,0.1379549141,0.2,1,0.1870630398,0,< 1 Year,1,1.6985420429,0.0278168633,0.2214532872,0.66667367
197,273937,0.1379549141,0.2307692308,1,0.0958711869,1,1-2 Year,0,0.5075965903,0.3537441741,0.3079584775,0.9994544045
198,360689,0.1040223002,0.4615384615,1,0.1870630398,0,1-2 Year,1,1.1559188292,0.2097137628,0.0034602076,0.7109324821
199,61166,0.1040223002,0.6923076923,1,0.1870630398,0,> 2 Years,1,1.6526693636,0.0260522751,0.8373702422,0.6855313762
200,270238,0.1040223002,0.0153846154,1,0.0714553991,1,< 1 Year,0,0.2223022466,0.3537441741,0.7889273356,0.9994923414
201,61058,0.1379549141,0.5846153846,1,0.1870630398,0,1-2 Year,1,1.547726162,3.2799e-05,0.6505190311,0.67704735
202,315366,0.1379549141,0.4923076923,1,0.1097560976,0,1-2 Year,1,-1.6234190157,0.2097137628,0.0761245675,0.7847139474
203,133209,0.1379549141,0.3230769231,1,0.104607721,1,1-2 Year,0,-1.6234190157,0.1935077586,0.6989619377,0.9993735573
204,253040,0.1040223002,0.0153846154,1,0.1240072202,1,< 1 Year,0,0.1918948813,0.0572867981,0.339100346,0.9991748358
205,374963,0.1040223002,0.0307692308,1,0.1097234612,1,< 1 Year,0,0.2179998661,0.3537441741,0.4602076125,0.9993966222
206,306104,0.1379549141,0.3538461538,1,0.1870630398,0,> 2 Years,1,0.0216601476,0.0260522751,0.5640138408,0.6757217635
